Company_ID,Company_Name,Sectors,Trading_Codes,Scrip_Codes,Websites,Urls
DSE-364-4032,Sonali Paper & Board Mills Ltd.,Insurance,SONALIPAPR, 25730, http://www.sonarbanglainsurance.com,https://www.dsebd.org/displayCompany.php?name=SONARBAINS
DSE-365-3383,Sonar Bangla Insurance Ltd.,Textile,SONARBAINS, 17430, http://www.khansonsgroupbd.com,https://www.dsebd.org/displayCompany.php?name=SONARGAON
DSE-366-1951,Sonargaon Textiles Ltd.,Bank,SONARGAON, 11117, http://www.southeastbank.com.bd,https://www.dsebd.org/displayCompany.php?name=SOUTHEASTB
DSE-367-7078,Southeast Bank Ltd.,Ceramics Sector,SOUTHEASTB, 24633, http://www.shinepukur.com,https://www.dsebd.org/displayCompany.php?name=SPCERAMICS
DSE-368-4132,Shinepukur Ceramics Limited,Fuel & Power,SPCERAMICS, 15317, http://www.youthbd.com,https://www.dsebd.org/displayCompany.php?name=SPCL
DSE-369-4419,Shahjibazar Power Co. Ltd.,Textile,SPCL, 17446, https://textile.squaregroup.com/,https://www.dsebd.org/displayCompany.php?name=SQUARETEXT
DSE-370-3201,Square Textiles Ltd.,Pharmaceuticals & Chemicals,SQUARETEXT, 18473, http://www.squarepharma.com.bd,https://www.dsebd.org/displayCompany.php?name=SQURPHARMA
DSE-371-6191,Square Pharmaceuticals Ltd.,Engineering,SQURPHARMA, 13245, http://www.sssteel.biz,https://www.dsebd.org/displayCompany.php?name=SSSTEEL
DSE-372-5999,S. S. Steel Limited,Ceramics Sector,SSSTEEL, 24626, http://www.standardceramic.net,https://www.dsebd.org/displayCompany.php?name=STANCERAM
DSE-373-6438,Standard Ceramic Industries Ltd.,Insurance,STANCERAM, 25737, http://www.standardinsurance.com.bd,https://www.dsebd.org/displayCompany.php?name=STANDARINS
DSE-374-3560,Standard Insurance Limited,Bank,STANDARINS, 11125, http://www.standardbankbd.com/,https://www.dsebd.org/displayCompany.php?name=STANDBANKL
DSE-375-4605,Standard Bank Limited,Textile,STANDBANKL, 17408, http://www.stylecraftltd.com,https://www.dsebd.org/displayCompany.php?name=STYLECRAFT
DSE-376-1665,Stylecraft Limited,Fuel & Power,STYLECRAFT, 15306, http://www.summitpowerinternational.com/SPL,https://www.dsebd.org/displayCompany.php?name=SUMITPOWER
DSE-377-3920,Summit Power Limited,Insurance,SUMITPOWER, 25746, http://www.sunlifeinsbd.com,https://www.dsebd.org/displayCompany.php?name=SUNLIFEINS
DSE-378-1855,Sunlife Insurance Company Limited,Insurance,SUNLIFEINS, 25736, http://www.takaful.com.bd,https://www.dsebd.org/displayCompany.php?name=TAKAFULINS
DSE-379-5228,Takaful Islami Insurance Limited,Textile,TAKAFULINS, 17417, http://www.tsml.com.bd,https://www.dsebd.org/displayCompany.php?name=TALLUSPIN
DSE-380-3532,Tallu Spinning Mills Ltd.,Insurance,TALLUSPIN, 88305, http://www.trustislamilife.com,https://www.dsebd.org/displayCompany.php?name=TB5Y1225
DSE-381-8107,Tamijuddin Textile Mills PLC,Fuel & Power,TB5Y1225, 25757, http://www.titasgas.org.bd,https://www.dsebd.org/displayCompany.php?name=TILIL
DSE-382-9548,Trust Islami Life Insurance Limited,Textile,TILIL, 15311, http://www.til.com.bd,https://www.dsebd.org/displayCompany.php?name=TITASGAS
DSE-383-1787,Titas Gas Transmission & Dist. Co. Ltd.,Mutual Funds,TITASGAS, 17468, http://www.trustb1mf.com/,https://www.dsebd.org/displayCompany.php?name=TOSRIFA
DSE-384-9187,Tosrifa Industries Limited,Bank,TOSRIFA, 12172, http://www.tblbd.com,https://www.dsebd.org/displayCompany.php?name=TRUSTB1MF
DSE-385-8878,Trust Bank 1st Mutual Fund,Textile,TRUSTB1MF, 11145, ,https://www.dsebd.org/displayCompany.php?name=TRUSTBANK
DSE-386-1060,Trust Bank Limited,Bank,TRUSTBANK, 17463, http://www.ucb.com.bd,https://www.dsebd.org/displayCompany.php?name=TUNGHAI
DSE-387-5717,Tung Hai Knitting & Dyeing Limited,Food & Allied,TUNGHAI, 11108, https://www.unilever.com/UCL-bd.html,https://www.dsebd.org/displayCompany.php?name=UCB
DSE-388-6743,United Commercial Bank Ltd.,Bank,UCB, 18454, http://www.unionbank.com.bd,https://www.dsebd.org/displayCompany.php?name=UNILEVERCL
DSE-389-9034,Unilever Consumer Care Limited,Financial Institutions,UNILEVERCL, 11152, http://www.unicap-bd.com,https://www.dsebd.org/displayCompany.php?name=UNIONBANK
DSE-390-6255,Union Bank Limited,Insurance,UNIONBANK, 11141, http://www.unioninsurancebd.com,https://www.dsebd.org/displayCompany.php?name=UNIONCAP
DSE-391-9167,Union Capital Limited,Travel & Leisure,UNIONCAP, 25753, http://www.uhrlbd.com,https://www.dsebd.org/displayCompany.php?name=UNIONINS
DSE-392-8266,Union Insurance Company Limited,Financial Institutions,UNIONINS, 29002, http://www.unitedfinance.com.bd,https://www.dsebd.org/displayCompany.php?name=UNIQUEHRL
DSE-393-9050,Unique Hotel & Resorts PLC,Insurance,UNIQUEHRL, 11113, http://www.unitedinsurance.com.bd,https://www.dsebd.org/displayCompany.php?name=UNITEDFIN
